,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
1576,1927,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,18:00.0,18:05.0,18:05.0,18:05.0,5,5,,1,0,0,1,Calculate_unit_rate,1
1580,1931,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,18:11.0,18:17.0,18:34.0,18:34.0,23,,23,0,1,0,1,Calculate_unit_rate,2
1596,1947,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-012,1,SimplifiedNumeratorQuantity1,50:52.0,50:57.0,51:11.0,51:11.0,18,,18,0,1,0,1,Calculate_unit_rate,3
1597,1948,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-012,1,SimplifiedNumeratorQuantity2,51:11.0,51:14.0,51:14.0,51:14.0,3,3,,1,0,0,1,Calculate_unit_rate,4
1612,1963,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-054,1,SimplifiedNumeratorQuantity2,53:43.0,53:47.0,53:56.0,53:56.0,13,,13,0,1,0,1,Calculate_unit_rate,5
1615,1966,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-054,1,SimplifiedNumeratorQuantity1,54:02.0,54:14.0,54:14.0,54:14.0,12,12,,1,0,0,1,Calculate_unit_rate,6
1627,1978,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-029,1,SimplifiedNumeratorQuantity2,17:17.0,17:40.0,17:40.0,17:40.0,23,23,,1,0,0,1,Calculate_unit_rate,7
1627,1978,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-029,1,SimplifiedNumeratorQuantity2,17:17.0,17:40.0,17:40.0,17:40.0,23,23,,1,0,0,1,Calculate_unit_rate,7
1630,1981,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-029,1,SimplifiedNumeratorQuantity1,17:50.0,18:06.0,18:06.0,18:06.0,16,16,,1,0,0,1,Calculate_unit_rate,8
1646,1997,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-109,1,SimplifiedNumeratorQuantity2,44:49.0,44:51.0,44:51.0,44:51.0,2,2,,1,0,0,1,Calculate_unit_rate,9
1647,1998,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-109,1,SimplifiedNumeratorQuantity1,44:51.0,45:06.0,45:06.0,45:06.0,15,15,,1,0,0,1,Calculate_unit_rate,10
3963,5289,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,28:49.0,28:58.0,28:58.0,28:58.0,9,9,,1,0,0,1,Calculate_unit_rate,1
3974,5300,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,29:27.0,29:32.0,30:29.0,30:29.0,35,,35,0,4,1,1,Calculate_unit_rate,2
3986,5312,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-071,1,SimplifiedNumeratorQuantity1,59:48.0,59:55.0,01:14.0,01:14.0,63,,63,0,3,1,1,Calculate_unit_rate,3
3992,5318,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-071,1,SimplifiedNumeratorQuantity2,01:32.0,02:38.0,03:15.0,03:15.0,103,,103,0,1,0,1,Calculate_unit_rate,4
4006,5332,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-099,1,SimplifiedNumeratorQuantity1,04:16.0,04:28.0,04:39.0,04:39.0,23,,23,0,1,0,1,Calculate_unit_rate,5
4009,5335,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-099,1,SimplifiedNumeratorQuantity2,04:39.0,04:45.0,05:03.0,05:03.0,14,,14,0,1,0,1,Calculate_unit_rate,6
4025,5351,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-177,1,SimplifiedNumeratorQuantity1,07:42.0,08:02.0,08:02.0,08:02.0,20,20,,1,0,0,1,Calculate_unit_rate,7
4026,5352,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-177,1,SimplifiedNumeratorQuantity2,08:02.0,08:08.0,08:08.0,08:08.0,6,6,,1,0,0,1,Calculate_unit_rate,8
4040,5366,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-078,1,SimplifiedNumeratorQuantity1,08:59.0,09:06.0,09:06.0,09:06.0,7,7,,1,0,0,1,Calculate_unit_rate,9
4043,5369,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-078,1,SimplifiedNumeratorQuantity2,09:11.0,09:16.0,09:16.0,09:16.0,5,5,,1,0,0,1,Calculate_unit_rate,10
4055,5381,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,10:38.0,10:41.0,10:41.0,10:41.0,3,3,,1,0,0,1,Calculate_part_in_proportion_with_fractions,1
4068,5394,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-192,1,EquationAnswer,14:48.0,15:03.0,15:35.0,15:35.0,47,,47,0,3,0,1,Calculate_total_in_proportion_with_fractions,1
4080,5406,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-108,1,EquationAnswer,17:33.0,17:37.0,17:37.0,17:37.0,4,4,,1,0,0,1,Calculate_total_in_proportion_with_fractions,2
4093,5419,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-048,1,EquationAnswer,20:24.0,20:31.0,22:20.0,22:20.0,62,,62,0,6,2,1,Calculate_part_in_proportion_with_fractions,2
4106,5432,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-124,1,EquationAnswer,23:48.0,23:49.0,24:01.0,24:01.0,13,,13,0,1,0,1,Calculate_part_in_proportion_with_fractions,3
4118,5444,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-077,1,EquationAnswer,26:11.0,26:12.0,26:12.0,26:12.0,1,1,,1,0,0,1,Calculate_part_in_proportion_with_fractions,4
4132,5458,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-136,1,EquationAnswer,28:14.0,28:15.0,28:48.0,28:48.0,34,,34,0,1,0,1,Calculate_total_in_proportion_with_fractions,3
4145,5471,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-074,1,EquationAnswer,30:59.0,31:01.0,31:06.0,31:06.0,7,,7,0,1,0,1,Calculate_total_in_proportion_with_fractions,4
4157,5483,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-081,1,EquationAnswer,32:58.0,33:01.0,33:01.0,33:01.0,3,3,,1,0,0,1,Calculate_total_in_proportion_with_fractions,5
4169,5495,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-056,1,EquationAnswer,34:20.0,34:27.0,34:27.0,34:27.0,7,7,,1,0,0,1,Calculate_part_in_proportion_with_fractions,5
4181,5507,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-138,1,EquationAnswer,35:24.0,35:25.0,35:29.0,35:29.0,5,,5,0,1,0,1,Calculate_total_in_proportion_with_fractions,6
4193,5519,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-175,1,EquationAnswer,36:35.0,36:36.0,36:49.0,36:49.0,13,,13,0,1,0,1,Calculate_total_in_proportion_with_fractions,7
4205,5531,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-121,1,EquationAnswer,37:44.0,37:47.0,37:47.0,37:47.0,3,3,,1,0,0,1,Calculate_total_in_proportion_with_fractions,8
