num, lesson,student,skill,cell,right,eol
1, lesson,s248l2vzzr,Calculate_unit_rate,cell,1,eol
2, lesson,s248vyggq1,Calculate_unit_rate,cell,1,eol
3, lesson,s271l1nh6mwb8,Calculate_unit_rate,cell,0,eol
4, lesson,s2718y4v61pyw,Calculate_unit_rate,cell,1,eol
5, lesson,s171TsMI6,Calculate_unit_rate,cell,0,eol
6, lesson,s271g7beuc4s1,Calculate_unit_rate,cell,0,eol
7, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
8, lesson,s248pthl4g,Calculate_unit_rate,cell,1,eol
9, lesson,s271vnz5oz4ux,Calculate_unit_rate,cell,1,eol
10, lesson,s2500vozmdgch,Calculate_unit_rate,cell,0,eol
11, lesson,s271t9pn6kh3o,Calculate_unit_rate,cell,1,eol
12, lesson,s248p8amkt,Calculate_unit_rate,cell,0,eol
13, lesson,s2712430melag,Calculate_unit_rate,cell,1,eol
14, lesson,s271zzbwqtqht,Calculate_unit_rate,cell,1,eol
15, lesson,s171mc75l,Calculate_unit_rate,cell,1,eol
16, lesson,s171051xl,Calculate_unit_rate,cell,0,eol
17, lesson,s171cjhjb,Calculate_unit_rate,cell,0,eol
18, lesson,s2715k99xjyag,Calculate_unit_rate,cell,1,eol
19, lesson,s250m7eq7bb65,Calculate_unit_rate,cell,1,eol
20, lesson,sXqcnV,Calculate_unit_rate,cell,1,eol
21, lesson,s248uttwmx,Calculate_unit_rate,cell,1,eol
22, lesson,si0PeR6q,Calculate_unit_rate,cell,1,eol
23, lesson,s271q8lar05ly,Calculate_unit_rate,cell,1,eol
24, lesson,s248f1q8y5,Calculate_unit_rate,cell,1,eol
25, lesson,sc71bRSy,Calculate_unit_rate,cell,1,eol
26, lesson,s2715basv2t5y,Calculate_unit_rate,cell,1,eol
27, lesson,s250nv9z94ms4,Calculate_unit_rate,cell,1,eol
28, lesson,s2365c1xmz,Calculate_unit_rate,cell,0,eol
29, lesson,s171IVNGa,Calculate_unit_rate,cell,0,eol
30, lesson,s248l2vzzr,Calculate_unit_rate,cell,1,eol
31, lesson,s2716zpf1ooo4,Calculate_unit_rate,cell,1,eol
32, lesson,s271sxlbnhuj8,Calculate_unit_rate,cell,0,eol
33, lesson,s271sxlbnhuj8,Calculate_unit_rate,cell,1,eol
34, lesson,shpN7z,Calculate_unit_rate,cell,1,eol
35, lesson,s271g7beuc4s1,Calculate_unit_rate,cell,0,eol
36, lesson,s271iqvz5tgi6,Calculate_unit_rate,cell,1,eol
37, lesson,s248xzmpqp,Calculate_unit_rate,cell,1,eol
38, lesson,sH9R2j01,Calculate_unit_rate,cell,0,eol
39, lesson,s271k46zmobti,Calculate_unit_rate,cell,0,eol
40, lesson,s271yp0sidssm,Calculate_unit_rate,cell,0,eol
41, lesson,s248g1paph,Calculate_unit_rate,cell,1,eol
42, lesson,s248iwnoa3,Calculate_unit_rate,cell,1,eol
43, lesson,s171RUh1Q,Calculate_unit_rate,cell,1,eol
44, lesson,sC76m01z,Calculate_unit_rate,cell,0,eol
45, lesson,s271l6xuybjzm,Calculate_unit_rate,cell,1,eol
46, lesson,s271wanf4c1o8,Calculate_unit_rate,cell,1,eol
47, lesson,sCD8Q2,Calculate_unit_rate,cell,1,eol
48, lesson,s171D9H8C,Calculate_unit_rate,cell,0,eol
49, lesson,s248qm8h48,Calculate_unit_rate,cell,1,eol
50, lesson,s248ld2fnl,Calculate_unit_rate,cell,1,eol
51, lesson,s248cu006t,Calculate_unit_rate,cell,1,eol
52, lesson,s250h6tra32v8,Calculate_unit_rate,cell,0,eol
53, lesson,s2485bqay0,Calculate_unit_rate,cell,1,eol
54, lesson,s271a4jzl61kh,Calculate_unit_rate,cell,1,eol
55, lesson,s2500vozmdgch,Calculate_unit_rate,cell,1,eol
56, lesson,s271np4zc8vd1,Calculate_unit_rate,cell,1,eol
57, lesson,s248lmchx5,Calculate_unit_rate,cell,1,eol
58, lesson,s248dn9bur,Calculate_unit_rate,cell,1,eol
59, lesson,s2481ihli2,Calculate_unit_rate,cell,0,eol
60, lesson,s271swzglvvxm,Calculate_unit_rate,cell,1,eol
61, lesson,s250h6tra32v8,Calculate_unit_rate,cell,1,eol
62, lesson,s236x225jc,Calculate_unit_rate,cell,1,eol
63, lesson,s271sxlbnhuj8,Calculate_unit_rate,cell,1,eol
64, lesson,s171YFPuw,Calculate_unit_rate,cell,1,eol
65, lesson,s248b2u55n,Calculate_unit_rate,cell,1,eol
66, lesson,s271sxlbnhuj8,Calculate_unit_rate,cell,1,eol
67, lesson,s236hvsrf2,Calculate_unit_rate,cell,1,eol
68, lesson,sS2M2j2W,Calculate_unit_rate,cell,1,eol
69, lesson,s271pcwh6zshy,Calculate_unit_rate,cell,0,eol
70, lesson,s171IVNGa,Calculate_unit_rate,cell,0,eol
71, lesson,sF713eQN,Calculate_unit_rate,cell,1,eol
72, lesson,s271lda2pl3j5,Calculate_unit_rate,cell,1,eol
73, lesson,s2713xr7e2mrl,Calculate_unit_rate,cell,0,eol
74, lesson,s248xzmpqp,Calculate_unit_rate,cell,1,eol
75, lesson,s1712aRVk,Calculate_unit_rate,cell,0,eol
76, lesson,s2713iub9e45b,Calculate_unit_rate,cell,1,eol
77, lesson,s171mHjZ1,Calculate_unit_rate,cell,0,eol
78, lesson,s2715zk8yvhm2,Calculate_unit_rate,cell,0,eol
79, lesson,s171RUh1Q,Calculate_unit_rate,cell,0,eol
80, lesson,s2488gi45a,Calculate_unit_rate,cell,1,eol
81, lesson,s171HyaCo,Calculate_unit_rate,cell,1,eol
82, lesson,sVd9xmeb,Calculate_unit_rate,cell,0,eol
83, lesson,s248221j0m,Calculate_unit_rate,cell,1,eol
84, lesson,s250vczqeknkn,Calculate_unit_rate,cell,1,eol
85, lesson,s6zkEsmR,Calculate_unit_rate,cell,0,eol
86, lesson,s171ZXK0y,Calculate_unit_rate,cell,0,eol
87, lesson,s271iqvz5tgi6,Calculate_unit_rate,cell,1,eol
88, lesson,s248witr72,Calculate_unit_rate,cell,1,eol
89, lesson,s171DJdS4,Calculate_unit_rate,cell,0,eol
90, lesson,s171s6dHT,Calculate_unit_rate,cell,1,eol
91, lesson,s236hfghbw,Calculate_unit_rate,cell,0,eol
92, lesson,s250gwdn44nnw,Calculate_unit_rate,cell,1,eol
93, lesson,stwmF5,Calculate_unit_rate,cell,1,eol
94, lesson,sug982yk,Calculate_unit_rate,cell,1,eol
95, lesson,s248199mt7,Calculate_unit_rate,cell,0,eol
96, lesson,s250ngpo0blu8,Calculate_unit_rate,cell,1,eol
97, lesson,s2365c1xmz,Calculate_unit_rate,cell,1,eol
98, lesson,sNL002,Calculate_unit_rate,cell,1,eol
99, lesson,s271gp42wbol4,Calculate_unit_rate,cell,1,eol
100, lesson,s271g8nye4tne,Calculate_unit_rate,cell,1,eol
101, lesson,s250jinydnhom,Calculate_unit_rate,cell,1,eol
102, lesson,s171WqQfl,Calculate_unit_rate,cell,1,eol
103, lesson,s236pkt1lc,Calculate_unit_rate,cell,1,eol
104, lesson,s248p8amkt,Calculate_unit_rate,cell,1,eol
105, lesson,s2719d2i8bcpr,Calculate_unit_rate,cell,1,eol
106, lesson,s2711l993sfz5,Calculate_unit_rate,cell,0,eol
107, lesson,s2488yjm6k,Calculate_unit_rate,cell,0,eol
108, lesson,s271s5vixs3vo,Calculate_unit_rate,cell,1,eol
109, lesson,slU0S6m4,Calculate_unit_rate,cell,0,eol
110, lesson,s171FrTcd,Calculate_unit_rate,cell,1,eol
111, lesson,s248mbp1cf,Calculate_unit_rate,cell,1,eol
112, lesson,s171WqQfl,Calculate_unit_rate,cell,0,eol
113, lesson,sD6XHX,Calculate_unit_rate,cell,1,eol
114, lesson,s271o6s7fc625,Calculate_unit_rate,cell,1,eol
115, lesson,s236hvsrf2,Calculate_unit_rate,cell,0,eol
116, lesson,s248ehviie,Calculate_unit_rate,cell,0,eol
117, lesson,s2713iub9e45b,Calculate_unit_rate,cell,1,eol
118, lesson,s248js8qhk,Calculate_unit_rate,cell,1,eol
119, lesson,s248ldqqcu,Calculate_unit_rate,cell,1,eol
120, lesson,sSgkn3l2,Calculate_unit_rate,cell,0,eol
121, lesson,s4gcLyqe,Calculate_unit_rate,cell,1,eol
122, lesson,s171IVNGa,Calculate_unit_rate,cell,1,eol
123, lesson,s248ehviie,Calculate_unit_rate,cell,0,eol
124, lesson,s250hjlwvp5q0,Calculate_unit_rate,cell,0,eol
125, lesson,s171X71m0,Calculate_unit_rate,cell,1,eol
126, lesson,si50VGo0,Calculate_unit_rate,cell,1,eol
127, lesson,s2712s6anbvn0,Calculate_unit_rate,cell,1,eol
128, lesson,s250wz0z176z7,Calculate_unit_rate,cell,0,eol
129, lesson,s271n5ftoiiwq,Calculate_unit_rate,cell,0,eol
130, lesson,sk0v2K,Calculate_unit_rate,cell,0,eol
131, lesson,s248g1paph,Calculate_unit_rate,cell,1,eol
132, lesson,s4ziT9K3,Calculate_unit_rate,cell,1,eol
133, lesson,s2505kudhl81c,Calculate_unit_rate,cell,0,eol
134, lesson,s271vysg05m7y,Calculate_unit_rate,cell,1,eol
135, lesson,s248uttwmx,Calculate_unit_rate,cell,0,eol
136, lesson,s271zfbwp9vwj,Calculate_unit_rate,cell,1,eol
137, lesson,sCD8Q2,Calculate_unit_rate,cell,1,eol
138, lesson,s271lyd14mrok,Calculate_unit_rate,cell,1,eol
139, lesson,s171FRyp3,Calculate_unit_rate,cell,1,eol
140, lesson,sMYmjG5R,Calculate_unit_rate,cell,0,eol
141, lesson,s271llx9u0y8n,Calculate_unit_rate,cell,1,eol
142, lesson,s271vysg05m7y,Calculate_unit_rate,cell,0,eol
143, lesson,s236hvsrf2,Calculate_unit_rate,cell,0,eol
144, lesson,s2480hxxcx,Calculate_unit_rate,cell,0,eol
145, lesson,shZ1B6,Calculate_unit_rate,cell,1,eol
146, lesson,s248qm8h48,Calculate_unit_rate,cell,0,eol
147, lesson,s171ZXK0y,Calculate_unit_rate,cell,1,eol
148, lesson,s248zczb3i,Calculate_unit_rate,cell,1,eol
149, lesson,sHsN9sHn,Calculate_unit_rate,cell,0,eol
150, lesson,s248qm8h48,Calculate_unit_rate,cell,1,eol
151, lesson,s1715Zzr7,Calculate_unit_rate,cell,1,eol
152, lesson,s171WqQfl,Calculate_unit_rate,cell,0,eol
153, lesson,s171M1Dzf,Calculate_unit_rate,cell,0,eol
154, lesson,s248bnh2wl,Calculate_unit_rate,cell,1,eol
155, lesson,s171s0AHa,Calculate_unit_rate,cell,1,eol
156, lesson,s25072fprd8bu,Calculate_unit_rate,cell,0,eol
157, lesson,s2718vytyrz9p,Calculate_unit_rate,cell,0,eol
158, lesson,s171051xl,Calculate_unit_rate,cell,1,eol
159, lesson,s248gb425z,Calculate_unit_rate,cell,0,eol
160, lesson,s248yvjppn,Calculate_unit_rate,cell,1,eol
161, lesson,s271t4snhnc5k,Calculate_unit_rate,cell,1,eol
162, lesson,s248mf49nd,Calculate_unit_rate,cell,1,eol
163, lesson,s250w2b188psk,Calculate_unit_rate,cell,1,eol
164, lesson,s171yLm8m,Calculate_unit_rate,cell,0,eol
165, lesson,s250a246zn48q,Calculate_unit_rate,cell,0,eol
166, lesson,s2481kqe62,Calculate_unit_rate,cell,0,eol
167, lesson,s2487zw9m8,Calculate_unit_rate,cell,1,eol
168, lesson,s171yLm8m,Calculate_unit_rate,cell,0,eol
169, lesson,s271jx9kzczgk,Calculate_unit_rate,cell,1,eol
170, lesson,s8EWewH7,Calculate_unit_rate,cell,1,eol
171, lesson,s248y81vkb,Calculate_unit_rate,cell,0,eol
172, lesson,s250w2b188psk,Calculate_unit_rate,cell,0,eol
173, lesson,s248hh7azg,Calculate_unit_rate,cell,0,eol
174, lesson,s250p4rfsxze5,Calculate_unit_rate,cell,0,eol
175, lesson,s27168yaz30h6,Calculate_unit_rate,cell,0,eol
176, lesson,s171J2Zhn,Calculate_unit_rate,cell,0,eol
177, lesson,s271hj56ncqhi,Calculate_unit_rate,cell,1,eol
178, lesson,sdIUTKe8,Calculate_unit_rate,cell,1,eol
179, lesson,s271wejqm0l9q,Calculate_unit_rate,cell,0,eol
180, lesson,snag5fy8,Calculate_unit_rate,cell,1,eol
181, lesson,s1T4w47X,Calculate_unit_rate,cell,1,eol
182, lesson,s271llx9u0y8n,Calculate_unit_rate,cell,1,eol
183, lesson,s248witr72,Calculate_unit_rate,cell,1,eol
184, lesson,s271grhenl4ap,Calculate_unit_rate,cell,1,eol
185, lesson,s171E3Ky1,Calculate_unit_rate,cell,1,eol
186, lesson,s171yRG88,Calculate_unit_rate,cell,1,eol
187, lesson,s1712bs2B,Calculate_unit_rate,cell,0,eol
188, lesson,sD2MRF,Calculate_unit_rate,cell,0,eol
189, lesson,s271xqp306gvs,Calculate_unit_rate,cell,0,eol
190, lesson,s271ovyeoaomo,Calculate_unit_rate,cell,1,eol
191, lesson,s271h39ynsgp7,Calculate_unit_rate,cell,0,eol
192, lesson,s9J665,Calculate_unit_rate,cell,0,eol
193, lesson,sTPZxr,Calculate_unit_rate,cell,1,eol
194, lesson,s271glo85epj1,Calculate_unit_rate,cell,1,eol
195, lesson,s171SpYVZ,Calculate_unit_rate,cell,0,eol
196, lesson,s248dorqwi,Calculate_unit_rate,cell,1,eol
197, lesson,s2480hxxcx,Calculate_unit_rate,cell,1,eol
198, lesson,s236n14n80,Calculate_unit_rate,cell,1,eol
199, lesson,s271sys131man,Calculate_unit_rate,cell,1,eol
200, lesson,s2484tgyx0,Calculate_unit_rate,cell,0,eol
201, lesson,s250t1axmaayz,Calculate_unit_rate,cell,1,eol
202, lesson,s271mhp273g2i,Calculate_unit_rate,cell,1,eol
203, lesson,s248dorqwi,Calculate_unit_rate,cell,1,eol
204, lesson,s271sjweu45ee,Calculate_unit_rate,cell,1,eol
205, lesson,s171s0AHa,Calculate_unit_rate,cell,0,eol
206, lesson,s2488ghbcd,Calculate_unit_rate,cell,1,eol
207, lesson,s2483hyktg,Calculate_unit_rate,cell,1,eol
208, lesson,s248lmchx5,Calculate_unit_rate,cell,1,eol
209, lesson,s59v7i97,Calculate_unit_rate,cell,0,eol
210, lesson,s250u7kofjtfz,Calculate_unit_rate,cell,1,eol
211, lesson,s271t9pn6kh3o,Calculate_unit_rate,cell,1,eol
212, lesson,s171HkjkC,Calculate_unit_rate,cell,0,eol
213, lesson,s248gydfy6,Calculate_unit_rate,cell,0,eol
214, lesson,s271grhenl4ap,Calculate_unit_rate,cell,1,eol
215, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
216, lesson,s248mf49nd,Calculate_unit_rate,cell,0,eol
217, lesson,s171jQdWL,Calculate_unit_rate,cell,0,eol
218, lesson,s248kc3ovy,Calculate_unit_rate,cell,0,eol
219, lesson,s171AYrrZ,Calculate_unit_rate,cell,1,eol
