,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
4055,5381,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,10:38.0,10:41.0,10:41.0,10:41.0,3,3,,1,0,0,1,Calculate part in proportion with fractions,1
4093,5419,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-048,1,EquationAnswer,20:24.0,20:31.0,22:20.0,22:20.0,62,,62,0,6,2,1,Calculate part in proportion with fractions,2
4106,5432,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-124,1,EquationAnswer,23:48.0,23:49.0,24:01.0,24:01.0,13,,13,0,1,0,1,Calculate part in proportion with fractions,3
4118,5444,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-077,1,EquationAnswer,26:11.0,26:12.0,26:12.0,26:12.0,1,1,,1,0,0,1,Calculate part in proportion with fractions,4
4169,5495,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-056,1,EquationAnswer,34:20.0,34:27.0,34:27.0,34:27.0,7,7,,1,0,0,1,Calculate part in proportion with fractions,5
4218,5544,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-123,1,EquationAnswer,39:13.0,39:17.0,39:17.0,39:17.0,2,2,,1,0,0,1,Calculate part in proportion with fractions,6
4242,5568,3cjD21W,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-179,1,EquationAnswer,40:54.0,40:55.0,41:08.0,41:08.0,12,,12,0,2,0,1,Calculate part in proportion with fractions,7
9706,12733,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,2,EquationAnswer,25:07.0,25:15.0,25:23.0,25:23.0,16,,16,0,1,0,1,Calculate part in proportion with fractions,1
9719,12746,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-151,1,EquationAnswer,27:27.0,27:32.0,27:32.0,27:32.0,5,5,,1,0,0,1,Calculate part in proportion with fractions,2
9758,12785,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-163,1,EquationAnswer,38:38.0,38:41.0,43:35.0,43:35.0,110,,110,0,10,3,1,Calculate part in proportion with fractions,3
