num, lesson,student,skill,cell,right,eol
1, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
2, lesson,s745Yh,Calculate_unit_rate,cell,0,eol
3, lesson,s745Yh,Calculate_unit_rate,cell,0,eol
4, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
5, lesson,s745Yh,Calculate_unit_rate,cell,0,eol
6, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
7, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
8, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
9, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
10, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
11, lesson,s745Yh,Calculate_unit_rate,cell,1,eol
12, lesson,s3cjD21W,Calculate_unit_rate,cell,1,eol
13, lesson,s3cjD21W,Calculate_unit_rate,cell,0,eol
14, lesson,s3cjD21W,Calculate_unit_rate,cell,0,eol
15, lesson,s3cjD21W,Calculate_unit_rate,cell,0,eol
16, lesson,s3cjD21W,Calculate_unit_rate,cell,0,eol
17, lesson,s3cjD21W,Calculate_unit_rate,cell,0,eol
18, lesson,s3cjD21W,Calculate_unit_rate,cell,1,eol
19, lesson,s3cjD21W,Calculate_unit_rate,cell,1,eol
20, lesson,s3cjD21W,Calculate_unit_rate,cell,1,eol
21, lesson,s3cjD21W,Calculate_unit_rate,cell,1,eol
22, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,1,eol
23, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,0,eol
24, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,1,eol
25, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,0,eol
26, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,0,eol
27, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,1,eol
28, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,0,eol
29, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,0,eol
30, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,1,eol
31, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,1,eol
32, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,0,eol
33, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,0,eol
34, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,1,eol
35, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,1,eol
36, lesson,s3cjD21W,Calculate_total_in_proportion_with_fractions,cell,1,eol
37, lesson,s3cjD21W,Calculate_part_in_proportion_with_fractions,cell,0,eol
38, lesson,s3cjD21W,Plot_whole_number,cell,1,eol
39, lesson,s3cjD21W,Plot_terminating_proper_fraction,cell,0,eol
40, lesson,s3cjD21W,Plot_imperfect_radical,cell,1,eol
41, lesson,s3cjD21W,Plot_terminating_proper_fraction,cell,1,eol
42, lesson,s3cjD21W,Plot_non-terminating_improper_fraction,cell,1,eol
43, lesson,s3cjD21W,Plot_pi,cell,1,eol
44, lesson,s3cjD21W,Plot_terminating_proper_fraction,cell,0,eol
45, lesson,s3cjD21W,Plot_decimal_thousandths,cell,0,eol
46, lesson,s3cjD21W,Plot_terminating_proper_fraction,cell,1,eol
47, lesson,s3cjD21W,Plot_whole_number,cell,1,eol
48, lesson,s3cjD21W,Plot_decimal_thousandths,cell,0,eol
49, lesson,s3cjD21W,Plot_non-terminating_improper_fraction,cell,0,eol
50, lesson,s3cjD21W,Plot_imperfect_radical,cell,1,eol
51, lesson,s3cjD21W,Plot_non-terminating_improper_fraction,cell,1,eol
52, lesson,s3cjD21W,Plot_decimal_thousandths,cell,0,eol
53, lesson,s3cjD21W,Plot_terminating_proper_fraction,cell,1,eol
54, lesson,s3cjD21W,Finding_the_intersection_SIF,cell,1,eol
55, lesson,s3cjD21W,Finding_the_intersection_Mixed,cell,0,eol
56, lesson,s3cjD21W,Finding_the_intersection_Mixed,cell,1,eol
57, lesson,s3cjD21W,Finding_the_intersection_GLF,cell,0,eol
58, lesson,s3cjD21W,Finding_the_intersection_GLF,cell,0,eol
59, lesson,s3cjD21W,Finding_the_intersection_GLF,cell,0,eol
60, lesson,s3cjD21W,Finding_the_intersection_GLF,cell,1,eol
61, lesson,s3cjD21W,Finding_the_intersection_Mixed,cell,1,eol
62, lesson,s3cjD21W,Finding_the_intersection_GLF,cell,1,eol
63, lesson,s3cjD21W,Finding_the_intersection_SIF,cell,1,eol
64, lesson,s4gJnw14,Calculate_unit_rate,cell,1,eol
65, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
66, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
67, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
68, lesson,s4gJnw14,Calculate_unit_rate,cell,1,eol
69, lesson,s4gJnw14,Calculate_unit_rate,cell,1,eol
70, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
71, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
72, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
73, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
74, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
75, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
76, lesson,s4gJnw14,Calculate_unit_rate,cell,0,eol
