Unnamed: 0,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
2209251,2944428,248l2vzzr,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,53:43.0,53:48.0,53:48.0,53:48.0,5.0,5.0,,1,0,0,1,Calculate_unit_rate,1
1618501,2159217,248vyggq1,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-066,1,SimplifiedNumeratorQuantity2,06:49.0,06:58.0,06:58.0,06:58.0,9.0,9.0,,1,0,0,1,Calculate_unit_rate,8
487536,650181,271l1nh6mwb8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,09:29.0,10:57.0,11:09.0,11:09.0,99.0,,99.0,0,0,1,1,Calculate_unit_rate,8
621073,828490,2718y4v61pyw,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-060,1,SimplifiedNumeratorQuantity1,43:13.0,43:28.0,43:28.0,43:28.0,15.0,15.0,,1,0,0,1,Calculate_unit_rate,3
1432069,1910733,171TsMI6,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-039,1,SimplifiedNumeratorQuantity1,44:59.0,45:01.0,45:08.0,45:08.0,5.0,,5.0,0,0,1,1,Calculate_unit_rate,12
273151,364262,271g7beuc4s1,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-096,1,SimplifiedNumeratorQuantity2,12:18.0,12:23.0,12:37.0,12:37.0,19.0,,19.0,0,1,0,1,Calculate_unit_rate,4
9514,12541,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-106,1,SimplifiedNumeratorQuantity1,11:01.0,11:05.0,11:59.0,11:59.0,57.0,,57.0,0,3,1,1,Calculate_unit_rate,10
1506746,2010882,248pthl4g,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,10:09.0,10:15.0,10:15.0,10:15.0,6.0,6.0,,1,0,0,1,Calculate_unit_rate,1
397911,530896,271vnz5oz4ux,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-064,1,SimplifiedNumeratorQuantity2,30:03.0,30:10.0,30:10.0,30:10.0,7.0,7.0,,1,0,0,1,Calculate_unit_rate,8
1051499,1400597,2500vozmdgch,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-185,1,SimplifiedNumeratorQuantity1,12:43.0,12:47.0,13:44.0,13:44.0,52.0,,52.0,0,4,1,1,Calculate_unit_rate,11
805018,1071598,271t9pn6kh3o,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-159,1,SimplifiedNumeratorQuantity2,45:11.0,45:23.0,45:23.0,45:23.0,12.0,12.0,,1,0,0,1,Calculate_unit_rate,4
1726913,2300577,248p8amkt,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-085,1,SimplifiedNumeratorQuantity1,55:18.0,55:23.0,55:41.0,55:41.0,21.0,,21.0,0,2,1,1,Calculate_unit_rate,13
632340,843997,2712430melag,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-164,1,SimplifiedNumeratorQuantity2,50:43.0,50:53.0,50:53.0,50:53.0,10.0,10.0,,1,0,0,1,Calculate_unit_rate,7
822521,1095134,271zzbwqtqht,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-132,1,SimplifiedNumeratorQuantity1,15:18.0,15:21.0,15:21.0,15:21.0,3.0,3.0,,1,0,0,1,Calculate_unit_rate,13
1154875,1537733,171mc75l,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-110,1,SimplifiedNumeratorQuantity2,45:53.0,45:56.0,45:56.0,45:56.0,3.0,3.0,,1,0,0,1,Calculate_unit_rate,7
1410234,1882226,171051xl,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-028,1,SimplifiedNumeratorQuantity1,09:38.0,09:41.0,09:51.0,09:51.0,6.0,,6.0,0,1,0,1,Calculate_unit_rate,9
1413915,1887273,171cjhjb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-074,1,SimplifiedNumeratorQuantity1,46:09.0,46:14.0,46:44.0,46:44.0,17.0,,17.0,0,1,0,1,Calculate_unit_rate,5
559941,747126,2715k99xjyag,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,40:45.0,40:50.0,40:50.0,41:53.0,7.0,7.0,,1,0,0,2,Calculate_unit_rate,1
1111115,1480229,250m7eq7bb65,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-091,1,SimplifiedNumeratorQuantity2,41:02.0,41:07.0,41:07.0,41:07.0,5.0,5.0,,1,0,0,1,Calculate_unit_rate,11
1176501,1566273,XqcnV,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,33:40.0,33:43.0,33:43.0,33:43.0,3.0,3.0,,1,0,0,1,Calculate_unit_rate,1
1828217,2433457,248uttwmx,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-040,2,SimplifiedNumeratorQuantity1,06:18.0,06:34.0,06:34.0,06:34.0,16.0,16.0,,1,0,0,1,Calculate_unit_rate,8
143942,191613,i0PeR6q,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-042,2,SimplifiedNumeratorQuantity2,03:06.0,03:16.0,03:16.0,03:16.0,10.0,10.0,,1,0,0,1,Calculate_unit_rate,6
802923,1068545,271q8lar05ly,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-065,1,SimplifiedNumeratorQuantity1,19:27.0,19:33.0,19:33.0,19:33.0,6.0,6.0,,1,0,0,1,Calculate_unit_rate,11
1641442,2189792,248f1q8y5,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-076,1,SimplifiedNumeratorQuantity1,10:05.0,10:10.0,10:10.0,10:10.0,5.0,5.0,,1,0,0,1,Calculate_unit_rate,5
118476,157515,c71bRSy,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-199,1,SimplifiedNumeratorQuantity2,52:14.0,52:18.0,52:18.0,52:18.0,4.0,4.0,,1,0,0,1,Calculate_unit_rate,4
481677,642386,2715basv2t5y,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,01:42.0,01:55.0,01:55.0,01:55.0,13.0,13.0,,1,0,0,1,Calculate_unit_rate,2
1117291,1488930,250nv9z94ms4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,08:14.0,08:23.0,08:23.0,08:23.0,9.0,9.0,,1,0,0,1,Calculate_unit_rate,1
1012131,1348221,2365c1xmz,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-147,1,SimplifiedNumeratorQuantity1,25:32.0,25:43.0,27:13.0,27:13.0,28.0,,28.0,0,1,1,1,Calculate_unit_rate,5
1348866,1798394,171IVNGa,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-186,1,SimplifiedNumeratorQuantity2,22:50.0,23:24.0,23:54.0,23:54.0,48.5,,48.5,0,1,1,1,Calculate_unit_rate,6
2209338,2944515,248l2vzzr,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-163,1,SimplifiedNumeratorQuantity1,06:16.0,06:22.0,06:22.0,06:22.0,6.0,6.0,,1,0,0,1,Calculate_unit_rate,11
890976,1186865,2716zpf1ooo4,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-011,1,SimplifiedNumeratorQuantity1,20:12.0,20:14.0,20:14.0,20:14.0,2.0,2.0,,1,0,0,1,Calculate_unit_rate,9
469716,626944,271sxlbnhuj8,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-163,1,SimplifiedNumeratorQuantity2,28:07.0,28:16.0,30:07.0,30:07.0,81.0,,81.0,0,8,1,1,Calculate_unit_rate,6
