num	 lesson	student	skill	cell	right	eol
16308	 lesson	s248l2vzzr	Calculate_unit_rate	cell	1	eol
13277	 lesson	s248vyggq1	Calculate_unit_rate	cell	1	eol
4540	 lesson	s271l1nh6mwb8	Calculate_unit_rate	cell	0	eol
5333	 lesson	s2718y4v61pyw	Calculate_unit_rate	cell	1	eol
11287	 lesson	s171TsMI6	Calculate_unit_rate	cell	0	eol
2327	 lesson	s271g7beuc4s1	Calculate_unit_rate	cell	0	eol
73	 lesson	s4gJnw14	Calculate_unit_rate	cell	0	eol
12361	 lesson	s248pthl4g	Calculate_unit_rate	cell	1	eol
3362	 lesson	s271vnz5oz4ux	Calculate_unit_rate	cell	1	eol
7874	 lesson	s2500vozmdgch	Calculate_unit_rate	cell	0	eol
6290	 lesson	s271t9pn6kh3o	Calculate_unit_rate	cell	1	eol
13738	 lesson	s248p8amkt	Calculate_unit_rate	cell	0	eol
5429	 lesson	s2712430melag	Calculate_unit_rate	cell	1	eol
6347	 lesson	s271zzbwqtqht	Calculate_unit_rate	cell	1	eol
9070	 lesson	s171mc75l	Calculate_unit_rate	cell	1	eol
10945	 lesson	s171051xl	Calculate_unit_rate	cell	0	eol
10993	 lesson	s171cjhjb	Calculate_unit_rate	cell	0	eol
4811	 lesson	s2715k99xjyag	Calculate_unit_rate	cell	1	eol
8600	 lesson	s250m7eq7bb65	Calculate_unit_rate	cell	1	eol
9213	 lesson	sXqcnV	Calculate_unit_rate	cell	1	eol
14642	 lesson	s248uttwmx	Calculate_unit_rate	cell	1	eol
1232	 lesson	si0PeR6q	Calculate_unit_rate	cell	1	eol
6273	 lesson	s271q8lar05ly	Calculate_unit_rate	cell	1	eol
13432	 lesson	s248f1q8y5	Calculate_unit_rate	cell	1	eol
1029	 lesson	sc71bRSy	Calculate_unit_rate	cell	1	eol
4427	 lesson	s2715basv2t5y	Calculate_unit_rate	cell	1	eol
8682	 lesson	s250nv9z94ms4	Calculate_unit_rate	cell	1	eol
7407	 lesson	s2365c1xmz	Calculate_unit_rate	cell	0	eol
10317	 lesson	s171IVNGa	Calculate_unit_rate	cell	0	eol
16318	 lesson	s248l2vzzr	Calculate_unit_rate	cell	1	eol
6748	 lesson	s2716zpf1ooo4	Calculate_unit_rate	cell	1	eol
4206	 lesson	s271sxlbnhuj8	Calculate_unit_rate	cell	0	eol
4201	 lesson	s271sxlbnhuj8	Calculate_unit_rate	cell	1	eol
9512	 lesson	shpN7z	Calculate_unit_rate	cell	1	eol
2325	 lesson	s271g7beuc4s1	Calculate_unit_rate	cell	0	eol
6410	 lesson	s271iqvz5tgi6	Calculate_unit_rate	cell	1	eol
