Unnamed: 0,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
550414,734351,271s5vixs3vo,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,00:42.0,00:45.0,00:45.0,00:45.0,3.0,3.0,,1,0,0,1,Calculate_unit_rate,1
1626860,2170501,248y81vkb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-178,1,SimplifiedNumeratorQuantity2,31:29.0,31:42.0,32:01.0,32:01.0,30.0,,30.0,0,1,0,1,Calculate_unit_rate,6
298216,397927,271lyut5ftpl,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-036,1,SimplifiedNumeratorQuantity2,25:33.0,25:37.0,26:20.0,26:20.0,38.0,,38.0,0,1,0,1,Calculate_unit_rate,8
1779349,2369392,248s3xw0q,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,05:46.0,05:49.0,05:49.0,05:49.0,3.0,3.0,,1,0,0,1,Calculate_unit_rate,1
9638,12665,4gJnw14,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-062,1,SimplifiedNumeratorQuantity2,23:29.0,23:35.0,23:39.0,23:39.0,9.0,,9.0,0,0,1,1,Calculate_unit_rate,24
1495014,1995393,248llcp7q,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-118,1,SimplifiedNumeratorQuantity2,50:27.0,50:43.0,50:43.0,50:43.0,16.0,16.0,,1,0,0,1,Calculate_unit_rate,6
1989468,2652722,248nb4uyh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-074,1,SimplifiedNumeratorQuantity1,05:17.0,05:18.0,05:41.0,05:41.0,24.0,,24.0,0,5,1,1,Calculate_unit_rate,9
1028339,1369595,236hfghbw,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,32:13.0,32:16.0,33:27.0,33:27.0,39.0,,39.0,0,3,1,1,Calculate_unit_rate,2
1202073,1600010,k0v2K,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,33:45.0,33:49.0,34:24.0,34:24.0,31.0,,31.0,0,4,1,1,Calculate_unit_rate,2
410827,548488,2718vytyrz9p,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-080,1,SimplifiedNumeratorQuantity2,04:20.0,04:25.0,04:32.0,04:32.0,11.0,,11.0,0,0,1,1,Calculate_unit_rate,10
1472971,1966227,248abpghv,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-118,1,SimplifiedNumeratorQuantity2,07:48.0,07:52.0,07:55.0,07:55.0,7.0,,7.0,0,1,0,1,Calculate_unit_rate,6
1634827,2181421,24819ck4l,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-172,1,SimplifiedNumeratorQuantity1,11:38.0,11:48.0,11:48.0,11:48.0,10.0,10.0,,1,0,0,1,Calculate_unit_rate,5
1796941,2392606,2485bqay0,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-195,1,SimplifiedNumeratorQuantity1,39:45.0,40:00.0,40:00.0,40:00.0,15.0,15.0,,1,0,0,1,Calculate_unit_rate,4
1779357,2369400,248s3xw0q,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,06:20.0,06:26.0,06:50.0,06:50.0,30.0,,30.0,0,1,0,1,Calculate_unit_rate,2
1263499,1683133,171qqhFU,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-153,1,SimplifiedNumeratorQuantity2,41:16.0,41:21.0,41:21.0,41:21.0,5.0,5.0,,1,0,0,1,Calculate_unit_rate,6
